date,formula,direction,entry,pnl_pts,reason,held_bars
2024-12-24,03_resonance,long,23293.71,-52.0,stop,2
2024-12-25,03_resonance,short,23220.18,-52.0,stop,1
2024-12-26,03_resonance,short,23267.55,13.340000000000146,time_1330,46
2024-12-27,03_resonance,short,23234.14,-52.0,stop,2
2024-12-30,03_resonance,short,23256.97,-52.0,stop,1
2025-01-02,03_resonance,short,22805.02,-52.0,stop,1
2025-01-03,03_resonance,long,23033.77,-52.0,stop,8
2025-01-07,03_resonance,long,23834.88,-52.0,stop,1
2025-01-08,03_resonance,short,23500.87,64.80999999999767,time_1330,28
2025-01-09,03_resonance,short,23375.67,-52.0,stop,1
2025-01-10,03_resonance,short,23052.14,-52.0,stop,38
2025-01-13,03_resonance,short,22519.02,-52.0,stop,1
2025-01-14,03_resonance,long,22694.86,22.340000000000146,time_1330,27
2025-01-15,03_resonance,long,22700.81,-52.0,stop,7
2025-01-16,03_resonance,long,23136.71,-52.0,stop,2
2025-01-17,03_resonance,long,23086.08,-52.0,stop,2
2025-01-20,03_resonance,long,23305.12,-52.0,stop,2
2025-01-21,03_resonance,short,23318.48,-52.0,stop,10
2025-01-22,03_resonance,long,23610.89,-52.0,stop,2
2025-02-04,03_resonance,long,22907.49,-52.0,stop,2
2025-02-05,03_resonance,long,23243.91,-52.0,stop,1
2025-02-06,03_resonance,long,23294.06,-52.0,stop,15
2025-02-07,03_resonance,long,23380.3,46.13999999999942,time_1330,43
2025-02-10,03_resonance,short,23220.95,-38.909999999999854,time_1330,31
2025-02-11,03_resonance,long,23348.48,39.25,time_1330,5
2025-02-12,03_resonance,short,23299.78,-42.62000000000262,time_1330,6
2025-02-13,03_resonance,short,23242.88,-52.0,stop,1
2025-02-14,03_resonance,short,23169.24,-52.0,stop,3
2025-02-17,03_resonance,long,23441.81,57.22999999999956,time_1330,36
2025-02-18,03_resonance,long,23534.07,23.400000000001455,time_1330,49
2025-02-19,03_resonance,long,23657.94,-52.0,stop,18
2025-02-20,03_resonance,short,23505.13,-52.0,stop,2
2025-02-21,03_resonance,long,23729.09,-52.0,stop,1
2025-02-24,03_resonance,short,23565.31,-2.0,time_eod,1
2025-02-25,03_resonance,short,23283.89,-52.0,stop,7
2025-02-26,03_resonance,long,23316.14,113.0,time_1330,14
2025-02-27,03_resonance,long,23255.83,-52.0,stop,3
2025-03-04,03_resonance,long,22676.68,-52.0,stop,6
2025-03-06,03_resonance,long,22854.53,-52.0,stop,1
2025-03-07,03_resonance,short,22548.2,-5.329999999998108,time_1330,2
2025-03-10,03_resonance,short,22497.25,17.75,time_1330,24
2025-03-11,03_resonance,short,22100.7,2.110000000000582,time_1330,1
2025-03-12,03_resonance,long,22368.03,-52.0,stop,14
2025-03-13,03_resonance,short,22105.41,73.07999999999811,time_1330,11
2025-03-14,03_resonance,short,21929.33,-52.0,stop,9
2025-03-18,03_resonance,long,22229.73,7.220000000001164,time_1330,23
2025-03-19,03_resonance,short,22059.21,83.90999999999985,time_1330,14
2025-03-20,03_resonance,long,22346.72,7.729999999999563,time_1330,26
2025-03-21,03_resonance,short,22259.66,29.169999999998254,time_1330,6
2025-03-24,03_resonance,short,22264.06,124.56000000000131,time_1330,45
2025-03-25,03_resonance,long,22282.87,13.069999999999709,time_1330,10
2025-03-26,03_resonance,short,22263.02,-49.81000000000131,time_1330,25
2025-03-31,03_resonance,short,20695.9,-2.0,time_eod,1
2025-04-01,03_resonance,long,21296.98,-36.54000000000087,time_1330,4
2025-04-02,03_resonance,long,21303.57,-52.0,stop,12
2025-04-09,03_resonance,long,18105.25,-52.0,stop,3
2025-04-11,03_resonance,long,19030.97,-52.0,stop,2
2025-04-15,03_resonance,short,19855.09,-19.700000000000728,time_1330,22
2025-04-17,03_resonance,short,19390.24,-3.1599999999998545,time_1330,17
2025-04-18,03_resonance,long,19404.32,-0.15999999999985448,time_1330,6
2025-04-21,03_resonance,short,19129.3,37.06999999999971,time_1330,32
2025-04-22,03_resonance,short,18955.9,101.38000000000102,time_1330,34
2025-04-24,03_resonance,long,19717.36,-52.0,stop,1
2025-04-25,03_resonance,long,19958.16,-52.0,stop,7
2025-04-28,03_resonance,short,20008.3,-16.700000000000728,time_1330,2
2025-04-29,03_resonance,short,20015.69,-52.0,stop,6
2025-04-30,03_resonance,short,20223.36,-52.0,stop,8
2025-05-02,03_resonance,long,20787.64,-2.0,time_eod,1
2025-05-05,03_resonance,long,20789.85,-52.0,stop,1
2025-05-06,03_resonance,short,20592.64,49.79000000000087,time_1330,17
2025-05-07,03_resonance,short,20540.43,75.29999999999927,time_1330,48
2025-05-08,03_resonance,long,20689.33,-10.440000000002328,time_1330,29
2025-05-09,03_resonance,long,20725.69,-52.0,stop,3
2025-05-12,03_resonance,long,21118.53,-3.279999999998836,time_1330,4
2025-05-14,03_resonance,long,21700.34,64.63999999999942,time_1330,12
2025-05-15,03_resonance,short,21719.5,-52.0,stop,6
2025-05-16,03_resonance,short,21802.5,-6.799999999999272,time_1330,29
2025-05-19,03_resonance,short,21636.29,110.86000000000058,time_1330,23
2025-05-20,03_resonance,short,21657.96,112.93000000000029,time_1330,39
2025-05-21,03_resonance,long,21681.97,148.0,tp,34
