formula,tf,gap_mult,sl,tp,trades,total_pnl,avg_pnl,win_rate,pf,max_dd,tp_rate,stop_rate,score
01,30min,0.35,40,200,176,3148.30000000001,17.88806818181824,0.3352272727272727,1.655311513900108,-570.0,0.13068181818181818,0.6363636363636364,2994.3623027800318
01,30min,0.2,50,150,230,3319.100000000002,14.430869565217401,0.3869565217391304,1.4665169284742448,-891.1500000000015,0.24347826086956523,0.5782608695652174,2966.8283856948506
01,30min,0.35,30,120,176,2948.7500000000036,16.754261363636385,0.3522727272727273,1.8136996810048913,-308.0,0.2840909090909091,0.6363636363636364,2957.489936200982
01,30min,0.35,40,150,176,3059.1200000000026,17.381363636363652,0.35795454545454547,1.6516238835600836,-487.8099999999977,0.23863636363636365,0.625,2945.5397767120203
01,30min,0.3,50,200,192,3206.8500000000095,16.70234375000005,0.359375,1.5225052749920585,-814.0799999999945,0.140625,0.5989583333333334,2904.311054998424
01,30min,0.3,60,300,192,3361.2200000000084,17.50635416666671,0.3854166666666667,1.491902650334403,-1117.8899999999958,0.03125,0.5520833333333334,2900.655530066891
01,30min,0.35,60,400,176,3118.2100000000064,17.71710227272731,0.3806818181818182,1.4969179774027517,-709.2799999999988,0.017045454545454544,0.5511363636363636,2862.9535954805574
01,30min,0.2,100,480,230,3417.0899999999965,14.856913043478245,0.45652173913043476,1.3297286396084655,-1313.0299999999916,0.008695652173913044,0.3695652173913043,2826.520727921694
01,30min,0.35,60,480,176,3061.530000000006,17.395056818181853,0.3806818181818182,1.48788545202467,-685.8199999999997,0.005681818181818182,0.5511363636363636,2816.1970904049404
01,30min,0.5,30,300,126,2824.9400000000023,22.42015873015875,0.30158730158730157,2.0259265312051724,-436.6800000000003,0.03968253968253968,0.6666666666666666,2811.785306241037
01,30min,0.2,100,400,230,3403.779999999999,14.799043478260865,0.45652173913043476,1.328444304635378,-1336.4899999999907,0.021739130434782608,0.3695652173913043,2801.223860927079
01,30min,0.35,50,300,176,3038.5000000000073,17.264204545454586,0.3522727272727273,1.5405737179943366,-723.7499999999964,0.028409090909090908,0.5965909090909091,2784.7397435988764
01,30min,0.7,30,400,92,2657.520000000004,28.886086956521783,0.31521739130434784,2.3439601897460314,-320.0,0.021739130434782608,0.6521739130434783,2766.31203794921
01,30min,0.2,60,250,230,3244.7900000000045,14.107782608695672,0.391304347826087,1.3986248089671207,-1138.010000000002,0.05652173913043478,0.5478260869565217,2755.5099617934275
01,30min,0.3,80,300,192,3319.1400000000103,17.287187500000055,0.4375,1.4297377920255232,-1384.5699999999924,0.03125,0.4479166666666667,2712.802558405119
01,30min,0.7,30,480,92,2577.3800000000047,28.01500000000005,0.31521739130434784,2.3034318138142433,-320.0,0.010869565217391304,0.6521739130434783,2678.0663627628533
01,30min,0.2,30,100,230,2702.0100000000093,11.747869565217432,0.3565217391304348,1.5734462677317782,-282.0,0.3130434782608696,0.6347826086956522,2675.699253546365
01,30min,0.2,80,300,230,3325.9900000000016,14.460826086956528,0.4391304347826087,1.3587659535911223,-1466.4599999999991,0.030434782608695653,0.44782608695652176,2664.5131907182267
01,30min,0.2,60,200,230,3126.940000000006,13.595391304347851,0.39565217391304347,1.3843087901107727,-1095.3200000000033,0.13478260869565217,0.5478260869565217,2656.1417580221587
01,30min,0.5,40,400,126,2750.0999999999985,21.826190476190465,0.31746031746031744,1.7852313350160465,-606.6800000000003,0.023809523809523808,0.6428571428571429,2603.8062670032077
01,30min,0.3,60,250,192,3052.2800000000134,15.897291666666737,0.3854166666666667,1.4466903747932878,-1104.2999999999956,0.0625,0.5520833333333334,2589.4680749586732
01,30min,0.3,50,150,192,2906.6300000000047,15.138697916666692,0.3802083333333333,1.4838109917473685,-902.4199999999983,0.25,0.5885416666666666,2552.182198349479
01,30min,0.5,40,480,126,2693.4199999999983,21.376349206349193,0.31746031746031744,1.7690475918544488,-606.6800000000003,0.007936507936507936,0.6428571428571429,2543.889518370888
01,30min,0.5,30,250,126,2566.8400000000074,20.371746031746092,0.30158730158730157,1.9321929872346637,-436.6800000000003,0.07142857142857142,0.6666666666666666,2534.93859744694
01,30min,0.35,50,250,176,2779.560000000012,15.792954545454615,0.3522727272727273,1.4945061983177033,-789.8899999999958,0.0625,0.5965909090909091,2483.516239663555
01,30min,0.3,80,250,192,3110.400000000016,16.200000000000085,0.4375,1.4027116748061819,-1448.9799999999923,0.06770833333333333,0.4479166666666667,2466.4523349612564
01,30min,0.2,60,150,230,2886.470000000005,12.549869565217412,0.41304347826086957,1.3614023533654032,-1017.1900000000023,0.24782608695652175,0.5391304347826087,2450.1554706730844
01,30min,0.35,80,400,176,2881.190000000006,16.37039772727276,0.42613636363636365,1.4011039724911782,-1037.0799999999945,0.017045454545454544,0.45454545454545453,2442.8707944982443
01,30min,0.3,60,200,192,2848.7300000000105,14.83713541666672,0.390625,1.4171109292249862,-1061.609999999997,0.140625,0.5520833333333334,2401.3471858450093
01,30min,0.35,80,480,176,2824.5100000000057,16.048352272727303,0.42613636363636365,1.3932132838657145,-1013.6199999999953,0.005681818181818182,0.45454545454545453,2396.342656773151
01,30min,0.3,120,480,192,3079.1200000000063,16.037083333333367,0.4635416666666667,1.3320754716981138,-1502.619999999988,0.010416666666666666,0.3125,2394.225094339635
01,30min,0.3,40,120,192,2568.360000000004,13.376875000000021,0.3697916666666667,1.5105464347266049,-554.0,0.3020833333333333,0.6145833333333334,2393.469286945325
01,30min,0.3,100,300,192,3011.140000000014,15.683020833333407,0.4583333333333333,1.34957486428628,-1384.0099999999875,0.036458333333333336,0.375,2389.0499728572763
01,30min,0.5,30,150,126,2411.0700000000033,19.13547619047622,0.3253968253968254,1.8943536062436035,-416.0,0.23015873015873015,0.6587301587301587,2381.940721248724
01,30min,0.35,100,480,176,2816.5100000000093,16.00289772727278,0.44886363636363635,1.3541341065202452,-1026.6099999999933,0.011363636363636364,0.375,2374.031821304062
01,30min,0.3,120,400,192,3065.8100000000086,15.967760416666712,0.4635416666666667,1.3306400211381157,-1516.0699999999852,0.026041666666666668,0.3125,2373.903004227639
01,30min,0.2,80,250,230,3067.2500000000073,13.335869565217424,0.4391304347826087,1.3308563378580127,-1530.869999999999,0.06086956521739131,0.44782608695652176,2367.9862675716104
01,30min,0.7,30,300,92,2286.1200000000063,24.849130434782676,0.31521739130434784,2.156135896995018,-320.0,0.043478260869565216,0.6521739130434783,2357.3471793990097
